x,y
0.995504175,7.610993658
2.055234425,7.610993658
3.0507386,32.98097252
3.982016699,93.86892178
4.592164419,157.2938689
5.089916506,210.5708245
5.475272961,276.5327696
6.085420681,383.0866808
6.535003211,489.640592
7.032755299,613.9534884
7.450224791,748.4143763
7.867694284,885.4122622
8.23699422,1017.336152
8.622350674,1179.704017
8.927424534,1311.627907
9.409120103,1499.365751
9.826589595,1671.881607
10.21194605,1819.027484
10.90237636,1996.617336
11.2716763,2090.486258
11.70520231,2151.374207
11.9460501,2184.35518
12.33140655,2237.632135
12.71676301,2260.465116
13.16634554,2285.835095
13.56775851,2308.668076
14.48298009,2351.79704
15.31791908,2351.79704
16.47398844,2351.79704
17.79062299,2351.79704
18.88246628,2351.79704
20.23121387,2351.79704
22.15799615,2351.79704
25.01605652,2351.79704
