x,y
0.996143959,0.002159827
1.060411311,0.071274298
1.156812339,0.151187905
1.285347044,0.231101512
1.31748072,0.282937365
1.349614396,0.319654428
1.413881748,0.365010799
1.446015424,0.399568035
1.4781491,0.436285097
1.510282776,0.481641469
1.574550129,0.535637149
1.606683805,0.589632829
1.670951157,0.645788337
1.703084833,0.686825054
1.767352185,0.753779698
1.799485861,0.792656587
1.831619537,0.820734341
1.863753213,0.857451404
1.928020566,0.913606911
1.992287918,0.958963283
2.024421594,0.980561555
2.024421594,0.997840173
2.13688946,0.993520518
2.265424165,0.987041037
2.410025707,0.979481641
2.570694087,0.971922246
2.763496144,0.963282937
2.924164524,0.954643629
3.020565553,0.950323974
3.149100257,0.941684665
3.245501285,0.935205184
3.341902314,0.928725702
3.502570694,0.917926566
3.663239075,0.90712743
3.856041131,0.894168467
3.952442159,0.88336933
4.048843188,0.879049676
4.27377892,0.876889849
4.659383033,0.872570194
5.01285347,0.870410367
5.302056555,0.870410367
5.655526992,0.870410367
6.008997429,0.870410367
6.394601542,0.870410367
6.683804627,0.870410367
7.005141388,0.870410367
7.197943445,0.863930886
7.422879177,0.855291577
7.615681234,0.846652268
7.872750643,0.835853132
8.033419023,0.831533477
8.22622108,0.820734341
8.38688946,0.809935205
8.611825193,0.796976242
8.868894602,0.781857451
9.158097686,0.764578834
9.447300771,0.749460043
9.736503856,0.732181425
9.993573265,0.717062635
10.12210797,0.710583153
10.31491003,0.699784017
10.57197943,0.691144708
10.82904884,0.680345572
11.11825193,0.671706263
11.24678663,0.652267819
11.37532134,0.630669546
11.56812339,0.596112311
11.76092545,0.568034557
11.92159383,0.537796976
12.17866324,0.501079914
12.33933162,0.479481641
12.53213368,0.453563715
12.75706941,0.427645788
13.04627249,0.390928726
13.1748072,0.371490281
13.36760925,0.35637149
13.65681234,0.336933045
13.91388175,0.315334773
14.1066838,0.300215983
14.23521851,0.291576674
14.52442159,0.274298056
14.94215938,0.250539957
15.19922879,0.233261339
15.52056555,0.220302376
15.71336761,0.211663067
16.06683805,0.198704104
16.35604113,0.18574514
16.74164524,0.174946004
17.22365039,0.161987041
17.67352185,0.149028078
18.38046272,0.127429806
19.24807198,0.112311015
19.95501285,0.103671706
20.40488432,0.099352052
21.01542416,0.090712743
22.07583548,0.082073434
22.78277635,0.075593952
23.42544987,0.069114471
24.10025707,0.062634989
24.64652956,0.059395248
24.43766067,0.059395248
24.85539846,0.059395248
25.03213368,0.059395248
