x,y,,,
1.028277635,0,,,
1.31748072,0.319654428,,,
1.799485861,0.755939525,,,
2,1,,,
2.024421594,0.997840173,,,
2.185089974,0.991360691,,,
2.313624679,0.98488121,,,
2.442159383,0.978401728,,,
3.052699229,0.948164147,,,
4.016709512,0.881209503,,,
4.980719794,0.872570194,,,
7.06940874,0.872570194,,,
8.065552699,0.82937365,,,
10.02570694,0.710583153,,,
11.0218509,0.667386609,,,
12.21079692,0.493520518,,,
12.80526992,0.421166307,,,
13.20694087,0.369330454,,,
13.83354756,0.321814255,,,
15.26349614,0.231101512,,,
16.33997429,0.187904968,,,
17.46465296,0.155507559,,,
18.02699229,0.138228942,,,
18.99100257,0.11663067,,,
20.59768638,0.097192225,,,
22.26863753,0.080993521,,,
23.81105398,0.06587473,,,
25.03213368,0.059395248,,,
